ID,kategori,isi_laporan,sentimen
1,Fisik,"Saya anak broken home. Sekarang saya tinggal bersama ibu. Saya dituntut untuk memiliki nilai yang sempurna di sekolah karena jika tidak, saya akan dipukul dengan bat baseball oleh ibu saya. Perut saya memar parah, saya sudah berusaha mencoba lapor polisi namun tidak digubris",Low
2,Fisik,Ayah selalu memukuli saya dan ibu jika mabuk. Ia bisa memecahkan botol dan menghantamkannya kepada kami hingga berdarah-darah.,Low
3,Fisik,Biasanya ibu akan mukul kalau aku ngga berhasil dapet ranking High. Aku juga sering ngga dikasih makan,Low
4,Fisik,"Kemarin saya bertengkar dengan suami, dia menjambak rambut dan mendorong kepala saya ke tembok hingga berdarah",Low
5,Fisik,Sering sekali saya lihat ibu-ibu pengemis dengan anaknya yang tidur di dekat rumah. Tidak mungkin kalau anaknya tidur pulas seperti itu berjam-jam. Saya memiliki dugaan kalau anak itu dibius oleh ibunya,Low
6,Fisik,"Saya mengalami kekerasan dalam rumah tangga. Suami saya mencuri seluruh tabungan saya untuk berjudi. Ketika pulang, ia selalu dalam keadaan mabuk dan mulai melakukan kekerasan fisik pada saya",Low
7,Fisik,"Saya ingin mengambil anak saya dari mantan suami saya, karena mantan suami saya ini pengangguran dan suka nyiksa anak saya sampe dipukulin",Low
8,Fisik,Suami saya sering melakukan kekerasan fisik seperti menendang dan memukul dengan benda keras,High
9,Fisik,Tetangga saya sering memukul anaknya jika nakal. Padahal anaknya masih balita,High
10,Fisik,Ayah saya sering menyiram saya dengan air panas hingga kulit saya melepuh. Dia melakukannya setiap malam karena mabuk,High
11,Fisik,Saya dilarang ketemu anak saya oleh mantan suami. Saya cerai karena adanya KDRT. Anak saya sering dipukuli oleh mantan suami saya ini,Low
12,Fisik,Badan saya selalu dipukul dengan benda keras oleh anak tiri saya.,High
13,Fisik,Anak saya magang di hotel melebihi jam kerja.. sehari bisa HighMedium jam padahal masih berusia High5 tahun,High
14,Fisik,"Suami saya sering berjudi dan melakukan kekerasan fisik seperti memukul badan dan tangan kaki saya, hingga pernah suatu ketika tangan saya patah.",High
15,Fisik,Anak tetangga saya pergi ke rumah neneknya karena mengaku sering dianiaya bapaknya di rumah,Low
16,Fisik,Ibu saya sering memukul saya kalau sedang emosi,Low
17,Fisik,Ayah saya dan ibu saya suka main tangan. Saya malu dengan teman-teman kalau lagi ke rumah,Low
18,Fisik,"Ayahku ini baru meninggal dan ternyata punya istri lain. Dan ternyata ayah pernah menikah dengan wanita lain, pas aku ke rumahnya, aku dan ibu malah dipukuli dan dimintai uang",Low
19,Fisik,"Suami saya menampar keponakan yang berusia Low tahun, sampai sekarang trauma dan tidak mau ke rumah lagi..",Low
20,Fisik,"Tanteku tinggal di rumahku sekarang. Kalau aku ngga nurutin suruhan dia, dia pasti mukul aku pakai tangan",Low
21,Fisik,"Saya seorang istri dengan suami yang kasar. Tidak segan-segan dia memukul saya atau melempar benda ke saya, dan itu dilakukan di depan anak-anak",Low
22,Fisik,"Omku suka bermain tangan kepadaku jika aku berkunjung ke rumahnya. Alasannya karena dia mabuk. Biasanya dia memukul, menjitak, dan menamparku dengan keras",Low
23,Fisik,"Anak saya dipisahkan oleh saya dan sekarang jatuh pada asuhan mantan istri saya. Tapi selama ini, mantan istri saya tidak mengurus anak saya dengan benar",High
24,Fisik,Suami saya mengancam akan membunuh saya jika tidak mengikuti perintahnya yang padahal sepele. Dia sangat kejam,High
25,Fisik,"Saya berumur High4 tahun, sering mendapat kekerasan fisik oleh orang tua ketika mereka sedang emosi",Low
26,Fisik,Ibu saya sering mengatai saya anak tidak berguna dan melakukan kekerasan pada saya. Seperti menaruh balsem pada bibir saya,Low
27,Fisik,"Adik saya dijebak oleh teman-temannya, dia disuruh pergi untuk beli aksesoris,yang ternyata di dalam aksesorisnya ada narkoba",Low
28,Fisik,"Aku ingin bunuh diri rasanya karena setiap hari ayah suka memukul, menendang, dan lainnya setiap pulang kerja",High
29,Fisik,"Orang tua saya sangat keras. Mereka suka memukuli saya dengan sapu lidi dan gesper, makanya saya sering kabur dari rumah. Tapi mereka pasti memaksa saya untuk pulang, saya tidak berani..",Low
30,Fisik,Ibu selalu ngancem bunuh aku kalau kerjanya ga bener,Low
31,Fisik,Saya yatim piatu dan tinggal dengan om sekarang. Tapi om saya sering memukul saya,High
32,Fisik,Aku capek sama kedua orang tua aku. Mereka setiap hari selalu main tangan sama aku kalau emosi,High
33,Fisik,Istri saya bertengkar dengan tetangga tapi anak saya yang jadi korban terkena lemparan batu,High
34,Fisik,"Anak tetangga saya dididik secara tidak manusiawi dengan ibunya, seperti anaknya diberikan balsem di mulut jika tidak mau diam, dan membanting anaknya ke tanah",Low
35,Fisik,Saya dan anak saya ditelantarkan oleh suami. Tidak dinafkahi,Low
36,Fisik,Anak kenalan aku sering dibanting sama ibunya ke tanah. Sering ke rumah sakit anaknya karena mulai ada keanehan di tulangnya,Low
37,Fisik,Anak tetangga saya lahir tidak normal dan tidak diakui keluarga. Ia dibuang dan ditinggal oleh ibunya di pasar,Low
38,Fisik,Kemarin di halte saya liat tetangga saya yang perempuan dianiaya suaminya di publik. Dipukuli hingga pingsan,High
39,Fisik,Anak saya umur HighLow tahun berpacaran dengan lelaki berumur Medium5 tahun,Low
40,Fisik,Ibu saya sering pingsan dipukuli oleh ayah sampai berdarah-darah,High
41,Fisik,Anak saya masih SMP sudah berpacaran dengan lelaki yang sudah bekerja,Low
42,Fisik,Ibu saya sering kehilangan kesadaran kalau dianiaya ayah yang lagi emosi,Low
43,Fisik,Anak saya masih SMP sudah berpacaran dengan lelaki yang berbeda High8 tahun,Low
44,Fisik,"Kenalan saya sering menampar, menjambak, memukul anaknya kalau anaknya nakal",Low
45,Fisik,Anak saya diancam mau dibunuh oleh tetangga saya yang cukup bermasalah,High
46,Fisik,"Kenalan saya mengadopsi anak, tapi karena anak itu sering menangis, kenalan saya sering melakukan kekerasan fisik padanya. Seperti membantingnya, memukulnya, dan menamparnya. Padahal anaknya baru berumur High6 bulan",High
47,Fisik,Anak saya selalu diteror mau dibunuh oleh temannya,Low
48,Fisik,Tetangga saya sering menendang anaknya sebagai bentuk hukuman ketika anaknya berbuat salah,High
49,Fisik,Anak saya diteror ingin dibunuh,High
50,Fisik,"Ibu saya memiliki kelainan mental, oleh karena itu dia sering memukul dan melakukan kekerasan fisik lainnya pada saya. Saya tidak pernah mendapat kasih sayang dari seorang ibu :)",Low
51,Fisik,Ibu saya diteror ingin dibunuh oleh temannya,High
52,Fisik,Aku jarang dikasih makan dan sering dianiaya ibu kalau ngga dapet ranking,High
53,Fisik,Anak saya sedang bermain dengan teman-temannya di komplek disiram air comberan yang benuh bakteri oleh tetangga,Low
54,Fisik,"Ayah suka mukulin ibu kalau lagi emosi, parah sekali dampaknya. Ibu sampai masuk rumah sakit.",High
55,Fisik,Beberapa bulan lalu anak saya dipukul hingga benjol dan berdarah oleh tetangga,High
56,Fisik,Ayah dan ibu bersekongkol menyiram saya dengan air panas kalau saya nakal. Kulit saya sekarang jadi sangat sensitif dan luka-luka,High
57,Fisik,Anak saya ketika main sering sekali disiram air comberan jika berisik oleh tetangga,Low
58,Fisik,Ibu sering sekali memukuli saya dengan pentungan dan barang-barang tumpul. Kulit saya memar-memar,High
59,Fisik,Saya sering dipukuli ayah ketika saya menasehatinya tentang berjudi,Low
60,Fisik,"Kemarin saya melihat tetangga saya membunuh istrinya dengan pistol. Mayatnya disembunyikan di belakang rumah, saya sangat takut mau cerita ke siapa. Semoga bisa segera ditangani",Low
61,Fisik,Papa saya sering menyakiti mama dengan melakukan kekerasan fisik,High
62,Fisik,Ayah saya sering melakukan kekerasan fisik dan verbal kepada ibu.. ibu saya sampai punya gangguan mental,High
63,Fisik,"Tetangga saya suami istri sudah bercerai, anaknya diasuh oleh bapaknya. Tapi selama bersama bapaknya, mereka kerap kali mendapat kekerasan fisik. Bapaknya melarang anak-anaknya bertemu dengan ibunya",Low
64,Fisik,"Ibu sering banget mukul kepala aku ke tembok, aku ke rumah sakit sama tante dan didiagnisos gegar otak",Low
65,Fisik,Saya sering dibuli teman-teman dengan disiram air got dan dimintai uang setiap pulang sekolah,Low
66,Fisik,"Aku ingin bunuh diri, ibu selalu menganiaya aku pakai senjata tajam. Kulit aku sering disayat. Aku depresi",High
67,Fisik,Teman adik saya sering dibully oleh teman sekolahnya tanpa alasan yang jelas,High
68,Fisik,Papa sering banget mukulin mama. Seringnya pake senjata tajam,High
69,Fisik,Teman saya sering dibully oleh suatu kelompok karena mereka merasa senang membully orang lain. Mereka sudah melakukan kekerasan fisik dengan benda tumpul,High
70,Fisik,"Suami saya sering menusuk saya dengan pisau. Saya depresi, sudah berkali-kali masuk rumah sakit",Low
71,Fisik,Adik saya albino seringkali dibully oleh teman-temannya. Badannya sering dioleskan balsam oleh teman-temannya,High
72,Fisik,"Medium hari lalu ada kasus tetangga yang ketahuan selingkuh, dan istrinya langsung membunuh selingkuhan suaminya dengan pisau",Low
73,Fisik,Adik saya albino dan sering mendapatkan kekerasan fisik oleh teman-temannya,Low
74,Fisik,"Kakak saya sering melindungi saya ketika ibu sedang emosi. Dia sering ditonjok, ditendang hingga memar-memar",Low
75,Fisik,Adik saya tuna rungu dan sering mendapatkan bully dari teman-temannya,High
76,Fisik,Papa sering nonjok mama sampai wajah mama memar,Low
77,Fisik,Adik saya sering dipukul temannya karena menjadi seorang yang cacat fisik,Low
78,Fisik,Mertua saya sering menampar dan melakukan kekerasan fisik pada saya. Mungkin karena mereka masih belum bisa menerima saya sebagai mantunya. Tapi saya capek jika seperti ini terus,High
79,Fisik,Teman saya sering dibully karena memiliki pacar,High
80,Fisik,Mama suka banget mukulin aku kalau nilai sekolah aku jelek,High
